split,class,image_id,label,lesion_hue_deg,lesion_sat,lesion_val,lesion_frac_of_image,leaf_frac_of_image,lesion_frac_of_leaf,mask_frac_on_margin,mask_frac_on_paper,n_components,median_component_px,n_arms,n_arms_wrong,n_pair_confused,C1_pred,C2_pred,C4_pred,R0_pred,R1_pred,R2_pred,R3_pred,TLA_pred,p_colour_global_mean,p_colour_lesion_colour,p_colour_lesion_all
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_11b.jpg,0,36.59,0.3617,0.4289,0.08187,0.41661,0.19618,0.2473,0.0017,74,12.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_11c.jpg,0,21.61,0.3698,0.4597,0.21686,0.63797,0.33916,0.1073,0.0022,39,8.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_11d.jpg,0,26.46,0.3655,0.4258,0.10939,0.37651,0.29028,0.1492,0.0009,20,14.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_11f.jpg,0,34.0,0.3075,0.407,0.03548,0.27521,0.1289,0.141,0.0,17,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_120.jpg,0,23.68,0.3271,0.3687,0.05668,0.41099,0.13767,0.1227,0.0018,23,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_124.jpg,0,38.71,0.3623,0.5012,0.02509,0.38259,0.06517,0.0802,0.0064,29,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_125.jpg,0,36.0,0.3316,0.4253,0.06643,0.32972,0.19977,0.1173,0.0084,44,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_126.jpg,0,40.28,0.3981,0.5245,0.01973,0.42983,0.04549,0.0828,0.0091,14,17.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_12a.jpg,0,32.64,0.4468,0.4368,0.15533,0.56673,0.27402,0.0367,0.0003,21,8.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_12b.jpg,0,29.15,0.3425,0.5289,0.03298,0.4782,0.06885,0.1782,0.0018,6,8.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_12c.jpg,0,20.08,0.4305,0.4362,0.03769,0.47565,0.07923,0.1089,0.0,8,6.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_12d.jpg,0,28.92,0.4274,0.4614,0.03635,0.433,0.08386,0.0998,0.0011,32,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_130.jpg,0,21.18,0.3858,0.3977,0.12032,0.40653,0.29547,0.0979,0.0017,22,16.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_131.jpg,0,37.57,0.3305,0.5374,0.01937,0.4615,0.04185,0.2541,0.0031,23,6.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_133.jpg,0,29.22,0.2537,0.5927,0.02386,0.22766,0.10444,0.0568,0.0033,15,12.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_135.jpg,0,16.36,0.3568,0.3508,0.09012,0.37875,0.23779,0.0655,0.0007,9,18.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_136.jpg,0,19.59,0.3104,0.3416,0.05523,0.24715,0.22321,0.1563,0.0011,20,11.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_137.jpg,0,23.42,0.3706,0.3799,0.06583,0.13841,0.47444,0.0802,0.0024,5,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_138.jpg,0,40.68,0.3355,0.5428,0.0283,0.48595,0.05824,0.3077,0.0,42,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_139.jpg,0,27.08,0.3342,0.4263,0.04992,0.42666,0.11697,0.1689,0.0004,29,6.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_13b.jpg,0,37.52,0.401,0.4138,0.07689,0.45635,0.1656,0.135,0.0171,54,12.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_13d.jpg,0,33.35,0.3301,0.5276,0.01086,0.48196,0.0225,0.1028,0.0018,12,9.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_13e.jpg,0,16.29,0.3455,0.3819,0.08213,0.3907,0.21016,0.1235,0.0002,12,22.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_140.jpg,0,39.24,0.2965,0.3394,0.03526,0.33277,0.09894,0.056,0.0661,23,37.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_141.jpg,0,34.97,0.3645,0.4313,0.05431,0.23896,0.22711,0.2004,0.0007,44,11.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_143.jpg,0,39.69,0.3329,0.3719,0.01748,0.39401,0.0438,0.2281,0.0125,35,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_145.jpg,0,-1.13,0.4094,0.2844,0.0621,0.10969,0.56541,0.1085,0.0013,3,25.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_146.jpg,0,15.4,0.3468,0.3893,0.10286,0.47788,0.21286,0.0229,0.011,15,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_147.jpg,0,21.59,0.4194,0.5152,0.26417,0.39057,0.50191,0.1801,0.2579,33,13.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_148.jpg,0,22.5,0.3961,0.4154,0.19962,0.46735,0.42021,0.2414,0.0162,35,15.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_14a.jpg,0,32.1,0.2872,0.4245,0.02876,0.41014,0.07002,0.2827,0.0014,9,17.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_14b.jpg,0,34.9,0.3242,0.5586,0.32631,0.68483,0.4764,0.0533,0.0002,39,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_14c.jpg,0,35.02,0.2583,0.5038,0.03821,0.26463,0.1443,0.0574,0.0005,13,7.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_14d.jpg,0,16.4,0.2676,0.3144,0.02549,0.40663,0.06264,0.0297,0.0008,9,6.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_14e.jpg,0,13.52,0.3352,0.343,0.07081,0.35776,0.19787,0.0571,0.0003,7,38.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_14f.jpg,0,28.08,0.3691,0.5217,0.03544,0.46674,0.07592,0.1445,0.0,3,294.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_150.jpg,0,28.79,0.3977,0.2848,0.07414,0.36543,0.10318,0.0255,0.4914,23,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_152.jpg,0,37.35,0.3562,0.4524,0.06425,0.33524,0.19042,0.2481,0.0065,50,11.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_153.jpg,0,39.87,0.3554,0.5065,0.02866,0.46588,0.06134,0.2573,0.0028,27,13.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_154.jpg,0,15.59,0.4241,0.4568,0.05331,0.53428,0.09978,0.08,0.0,5,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_155.jpg,0,29.95,0.4665,0.3624,0.06866,0.24568,0.27939,0.0531,0.0003,10,7.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_156.jpg,0,41.1,0.3122,0.4048,0.00943,0.33494,0.02791,0.3298,0.0085,25,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_157.jpg,0,36.82,0.3861,0.4114,0.01198,0.43842,0.02728,0.3078,0.0017,4,69.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_159.jpg,0,18.96,0.4784,0.3622,0.2394,0.59656,0.4012,0.0498,0.0002,26,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_15a.jpg,0,42.01,0.3155,0.5141,0.01427,0.47923,0.02961,0.3659,0.0056,35,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_15b.jpg,0,30.86,0.3856,0.4833,0.05006,0.54456,0.09164,0.1549,0.0032,13,5.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_15d.jpg,0,24.78,0.2913,0.4512,0.04504,0.50708,0.08883,0.1659,0.0,27,7.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_160.jpg,0,15.84,0.3141,0.3598,0.05497,0.25112,0.21881,0.107,0.0004,11,6.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_162.jpg,0,37.1,0.3273,0.4804,0.01359,0.25654,0.05221,0.3842,0.0147,28,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_163.jpg,0,40.4,0.358,0.5209,0.01913,0.41554,0.04576,0.5698,0.0063,19,29.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_164.jpg,0,35.41,0.3345,0.4888,0.10381,0.54474,0.19006,0.1246,0.0027,47,19.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_165.jpg,0,25.64,0.3346,0.4336,0.08078,0.4672,0.1726,0.1305,0.0017,31,17.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_169.jpg,0,36.32,0.3536,0.4155,0.08693,0.40856,0.21229,0.1671,0.0023,44,13.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_16a.jpg,0,39.92,0.3751,0.4222,0.06706,0.47457,0.14039,0.1287,0.0065,47,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_16b.jpg,0,25.5,0.3465,0.4476,0.14238,0.50542,0.28095,0.1312,0.0027,49,15.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_16c.jpg,0,25.66,0.3246,0.4189,0.06302,0.45753,0.13734,0.1575,0.0028,34,21.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_16d.jpg,0,26.06,0.3291,0.4497,0.01778,0.24695,0.07191,0.1491,0.0011,4,35.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_16e.jpg,0,42.37,0.4807,0.5047,0.08068,0.43335,0.18244,0.0573,0.02,50,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_170.jpg,0,34.95,0.3156,0.5115,0.07049,0.50359,0.13958,0.1456,0.0028,36,11.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_171.jpg,0,39.27,0.4486,0.5075,0.01911,0.47806,0.03998,0.0136,0.0,8,41.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00001.jpg,0,38.68,0.5182,0.4356,0.06625,0.23443,0.28156,0.1471,0.0036,41,28.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00002.jpg,0,38.72,0.6315,0.3718,0.08677,0.30881,0.2797,0.152,0.0046,42,46.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00004.jpg,0,37.81,0.4687,0.4339,0.04963,0.35979,0.13737,0.2305,0.004,39,24.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00006.jpg,0,39.5,0.3869,0.5644,0.03538,0.53253,0.06602,0.2479,0.0062,52,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00007.jpg,0,29.33,0.5258,0.4314,0.0908,0.14128,0.64128,0.1071,0.0022,12,15.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00010.jpg,0,32.75,0.5086,0.4427,0.08177,0.23495,0.34744,0.0758,0.0017,23,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00012.jpg,0,38.84,0.4852,0.4493,0.04642,0.26586,0.17406,0.2486,0.003,31,12.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00013.jpg,0,39.9,0.5348,0.4145,0.03553,0.31912,0.11067,0.2142,0.0062,50,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00015.jpg,0,27.07,0.5236,0.3395,0.05246,0.18377,0.28435,0.0585,0.0038,17,18.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00016.jpg,0,34.11,0.4529,0.4148,0.01997,0.13477,0.14567,0.2944,0.017,19,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00017.jpg,0,37.12,0.4469,0.448,0.01467,0.10888,0.13234,0.2772,0.0177,13,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00018.jpg,0,36.13,0.4718,0.4559,0.02924,0.17034,0.16965,0.2454,0.0116,36,18.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00020.jpg,0,37.69,0.6892,0.3827,0.13423,0.35067,0.38119,0.1321,0.0042,57,26.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00021.jpg,0,39.71,0.4261,0.5467,0.02987,0.35174,0.08448,0.3102,0.0053,49,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00022.jpg,0,40.7,0.6529,0.3278,0.07398,0.28669,0.25763,0.1455,0.0016,40,8.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00023.jpg,0,37.79,0.6519,0.3973,0.09295,0.36675,0.25264,0.1707,0.0032,49,15.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00024.jpg,0,37.28,0.5115,0.5022,0.07974,0.34303,0.23205,0.1637,0.0017,39,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00026.jpg,0,32.8,0.6556,0.2974,0.12072,0.34377,0.35022,0.0941,0.0026,43,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00027.jpg,0,33.53,0.3713,0.6207,0.08143,0.28155,0.28831,0.0957,0.0032,11,7.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00029.jpg,0,33.97,0.4361,0.4666,0.03557,0.19902,0.17825,0.209,0.0028,32,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00030.jpg,0,33.56,0.476,0.4068,0.04303,0.2337,0.18165,0.1881,0.0134,31,16.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00033.jpg,0,38.32,0.5287,0.4266,0.06477,0.20458,0.31534,0.3046,0.004,18,16.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00035.jpg,0,38.54,0.4786,0.494,0.03426,0.29353,0.11522,0.2618,0.0128,36,11.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00036.jpg,0,37.73,0.4855,0.4903,0.02591,0.31318,0.08254,0.1008,0.0023,35,17.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00037.jpg,0,31.14,0.4237,0.4693,0.06242,0.23948,0.26015,0.1054,0.0019,21,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00038.jpg,0,20.27,0.5391,0.2862,0.13568,0.2662,0.50902,0.0845,0.0013,11,15.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00039.jpg,0,37.48,0.5013,0.3638,0.04719,0.26543,0.17758,0.1313,0.0013,54,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00042.jpg,0,31.82,0.6067,0.4177,0.06936,0.28049,0.24584,0.2086,0.0057,32,12.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00043.jpg,0,23.84,0.4407,0.3544,0.07113,0.22917,0.31011,0.0504,0.0008,29,7.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00044.jpg,0,34.14,0.7169,0.2201,0.05865,0.37596,0.15522,0.0476,0.0051,71,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00045.jpg,0,31.67,0.6904,0.2688,0.02896,0.16584,0.17366,0.1893,0.0055,34,17.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00046.jpg,0,35.81,0.5814,0.3423,0.02378,0.1923,0.12157,0.1551,0.0168,18,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00047.jpg,0,24.28,0.467,0.4414,0.17259,0.28655,0.60203,0.0639,0.0005,6,14.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00048.jpg,0,25.35,0.5593,0.4062,0.14417,0.24791,0.57955,0.0346,0.0035,10,7.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00049.jpg,0,23.84,0.6242,0.3549,0.17211,0.2623,0.65474,0.0735,0.0022,7,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00050.jpg,0,24.04,0.4896,0.405,0.14186,0.25805,0.54935,0.0867,0.0007,6,22.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00051.jpg,0,36.96,0.4889,0.3327,0.03268,0.16562,0.19567,0.2152,0.0085,37,21.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00052.jpg,0,37.94,0.4605,0.3307,0.02457,0.13544,0.18069,0.262,0.0041,34,20.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00053.jpg,0,37.52,0.4937,0.3456,0.01937,0.14047,0.13507,0.3025,0.0206,20,12.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00055.jpg,0,35.92,0.5045,0.3553,0.01278,0.14792,0.08529,0.1794,0.0125,21,16.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00056.jpg,0,32.64,0.5233,0.3331,0.01509,0.16434,0.08986,0.2933,0.0211,25,15.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00057.jpg,0,38.47,0.488,0.2651,0.01343,0.08281,0.16221,0.181,0.0,17,12.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00058.jpg,0,39.68,0.5198,0.2935,0.01108,0.09006,0.12215,0.3651,0.0072,18,10.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00059.jpg,0,26.84,0.46,0.5174,0.13935,0.33654,0.15658,0.096,0.6219,65,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00061.jpg,0,25.0,0.4622,0.5004,0.0274,0.26846,0.10134,0.2611,0.0073,31,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00063.jpg,0,12.7,0.4422,0.3778,0.03747,0.21046,0.17737,0.1691,0.0037,19,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00065.jpg,0,32.95,0.5189,0.4534,0.02982,0.14796,0.19949,0.2881,0.01,26,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00066.jpg,0,32.93,0.5463,0.4821,0.0448,0.18593,0.23797,0.3256,0.0125,43,12.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00067.jpg,0,22.84,0.4956,0.4854,0.08578,0.28251,0.30187,0.1564,0.0058,25,13.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00068.jpg,0,23.02,0.499,0.4884,0.08703,0.27657,0.31239,0.1546,0.0073,24,11.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00069.jpg,0,20.45,0.5479,0.4614,0.06678,0.25056,0.26472,0.2175,0.0069,26,12.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00070.jpg,0,20.39,0.551,0.4639,0.06732,0.25229,0.26471,0.2078,0.008,22,15.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00071.jpg,0,38.41,0.388,0.3212,0.04434,0.93581,0.04702,0.151,0.0076,78,8.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00073.jpg,0,41.97,0.3597,0.553,0.11069,0.96128,0.1148,0.2571,0.0031,54,9.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00074.jpg,0,41.57,0.3797,0.5684,0.16143,0.6263,0.2569,0.1665,0.0033,56,8.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00076.jpg,0,34.58,0.3499,0.3888,0.05206,0.83137,0.06158,0.1386,0.0165,65,8.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00077.jpg,0,35.41,0.3965,0.3849,0.0411,0.76977,0.05315,0.2134,0.0044,44,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00081.jpg,0,34.38,0.3539,0.537,0.03175,0.11352,0.25246,0.1965,0.0973,26,16.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00082.jpg,0,40.32,0.6058,0.4022,0.01144,0.10128,0.11295,0.2125,0.0,12,10.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00083.jpg,0,41.04,0.646,0.4256,0.01853,0.13483,0.13732,0.1957,0.0011,16,15.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00084.jpg,0,40.16,0.5926,0.3801,0.01268,0.12655,0.10016,0.2248,0.0,16,11.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00085.jpg,0,39.72,0.6882,0.3648,0.02734,0.15119,0.18046,0.1669,0.0022,36,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00086.jpg,0,40.08,0.6325,0.4199,0.0282,0.17124,0.16434,0.1774,0.0021,37,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00089.jpg,0,37.07,0.4228,0.3536,0.06047,0.99916,0.06052,0.1612,0.0,63,9.0,,,,,,,,,,,,,,
